full_name,age,position,yellow_cards_overall,red_cards_overall,assists_per_90_overall,goals_per_90_overall
Collin Quaner,31,Forward,0,0,0,0
Connor Wickham,29,Forward,0,0,1.48,0
Conor Coady,29,Midfielder,5,0,0,0
Conor Coventry,22,Midfielder,0,0,0,0
Curtis Jones,21,Midfielder,0,0,0,0
Dan Burn,30,Defender,0,0,0,0
Daniel Amartey,27,Midfielder,2,0,0,0
Daniel Williams,33,Midfielder,1,0,0,0
Danny Drinkwater,32,Midfielder,0,0,0,0
Davide Zappacosta,30,Defender,0,0,0,0
Demeaco Duhaney,24,Defender,0,0,0,0
Denis Suárez,28,Midfielder,0,0,0,0
Dominic Solanke,25,Forward,0,0,0.26,0
Elias Kachunga,30,Forward,2,0,0,0
Emerson Hyndman,26,Midfielder,0,0,0,0
Emile Smith Rowe,22,Midfielder,0,0,0,0
Ethan Ampadu,22,Midfielder,0,0,0,0
Fabian Delph,32,Midfielder,2,1,0.12,0
Faustino Marcos Alberto Rojo,32,Defender,2,0,0,0
Fousseni Diabaté,27,Midfielder,0,0,0,0
Gary Cahill,36,Defender,0,0,0,0
Gary Madine,32,Forward,0,0,0,0
George Marsh,23,Midfielder,0,0,0,0
Georges-Kevin N'Koudou Mbida,27,Forward,0,0,22.5,0
Grady Diangana,24,Midfielder,0,0,0.15,0
Hamza Choudhury,25,Midfielder,0,0,0,0
Harry Arter,32,Midfielder,10,0,0.04,0
Håvard Nordtveit,32,Midfielder,0,0,0.25,0
Ibrahima Cissé,28,Midfielder,0,0,0,0
Idrissa Gueye,33,Midfielder,6,0,0.06,0
Jack Wilshere,30,Midfielder,2,0,0.23,0
Jacob Murphy,27,Midfielder,0,0,0.3,0
Jaïro Riedewald,26,Defender,0,0,0,0
James Garner,21,Defender,0,0,0,0
James McCarthy,31,Midfielder,0,0,0,0
Jamie Sterry,26,Defender,0,0,0,0
Jason Puncheon,36,Midfielder,1,0,0,0
Jayson Molumby,23,Midfielder,0,0,0,0
Jazz Richards,31,Defender,0,0,0,0
Jermain Defoe,40,Forward,0,0,0,0
Joe Powell,24,Forward,0,0,0,0
Joe Ralls,29,Midfielder,5,1,0,0
Jonathan Hogg,33,Midfielder,9,1,0.04,0
Jonathan Walters,39,Forward,0,0,0,0
Jose Izquierdo,30,Forward,1,0,0.11,0
Joseph Willock,23,Midfielder,0,0,0,0
Josh Benson,22,Midfielder,0,0,0,0
Josh Knight,25,Defender,0,0,0,0
Joshua Sims,25,Midfielder,0,0,0.43,0
Kayne Ramsey,22,Midfielder,0,0,0,0
Kazaiah Sterling,23,Forward,0,0,0,0
Kelland Watts,23,Midfielder,0,0,0,0
Kevin McDonald,33,Midfielder,6,1,0,0
Ki Sung-yueng,33,Midfielder,2,0,0.07,0
Kieran Dowell,25,Midfielder,0,0,0,0
Konstantinos Mavropanos,24,Defender,1,0,0,0
Kortney Hause,27,Defender,0,0,0,0
Kyle Taylor,23,Midfielder,0,0,0,0
Laurent Depoitre,33,Forward,1,0,0.08,0
Lazar Marković,28,Midfielder,0,0,0,0
Leandro Bacuna,31,Midfielder,2,0,0,0
Leonardo Bonatini Lohner Maia,28,Forward,0,0,0.7,0
Lewis Cass,22,Defender,0,0,0,0
Lewis Cook,25,Midfielder,2,0,0,0
Loïc Damour,31,Midfielder,0,0,0,0
Luca de la Torre,24,Midfielder,0,0,0,0
Luke Amos,25,Midfielder,0,0,0,0
Luke Dreher,23,Midfielder,0,0,0,0
Marc Guehi,22,Defender,0,0,0,0
Marc Navarro Ceciliano,27,Defender,0,0,0,0
Marc Pugh,35,Midfielder,0,0,0,0
Markus Suttner,35,Defender,0,0,0,0
Marouane Fellaini,34,Midfielder,1,0,0.12,0
Mason Greenwood,21,Midfielder,0,0,0,0
Mateo Kovačić,28,Midfielder,3,0,0.1,0
Matt Butcher,25,Midfielder,0,0,0,0
Matteo Guendouzi,23,Midfielder,9,0,0,0
Matthew Connolly,35,Defender,0,0,0,0
Matty Daly,21,Midfielder,0,0,0,0
Max Harrison Sanders,23,Midfielder,0,0,0,0
Max Kilman,25,Defender,0,0,0,0
Miguel Almirón,28,Midfielder,0,0,0,0
Miguel Ángel Britos Cabrera,37,Defender,0,0,0,0
Mohamed Diamé,35,Midfielder,3,0,0,0
Mohamed Elneny,30,Midfielder,0,0,0,0
Mohamed Elyounoussi,28,Midfielder,0,0,0,0
Morgan Gibbs-White,22,Midfielder,1,0,0.14,0
Morgan Schneiderlin,32,Midfielder,2,0,0.11,0
Moussa Dembele,35,Midfielder,1,0,0,0
Moussa Sissoko,33,Midfielder,2,0,0.12,0
Nampalys Mendy,30,Midfielder,5,0,0,0
Nathan Holland,24,Midfielder,0,0,0,0
Nathaniel Chalobah,27,Midfielder,2,0,0,0
Neeskens Kebano,30,Midfielder,0,0,0,0
Nikola Tavares,23,Defender,0,0,0,0
Nnamdi Ofoborh,22,Midfielder,0,0,0,0
Oleksandr Zinchenko,25,Midfielder,1,0,0.23,0
Oliver Skipp,22,Midfielder,0,0,0,0
Oumar Niasse,32,Forward,0,0,0,0
Pape N'Diaye Souaré,32,Defender,0,0,0,0
Pedro Obiang,30,Midfielder,0,0,0.08,0
Peter Crouch,41,Forward,1,0,0,0
Philippe Sandler,25,Defender,0,0,0,0
Rafael Euclides Soares Camacho,22,Midfielder,0,0,0,0
Rajiv van La Parra,31,Midfielder,0,0,0,0
Ramadan Sobhi,25,Forward,0,0,0,0
Rhys Healey,27,Forward,0,0,0,0
Robbie Brady,30,Midfielder,4,1,0.13,0
Ryan Giles,22,Midfielder,0,0,0,0
Sam Gallagher,27,Forward,0,0,0,0
Sam Surridge,24,Forward,0,0,0,0
Sam Woods,24,Defender,0,0,0,0
Samir Nasri,35,Midfielder,0,0,0.73,0
Sandro Ramirez,27,Forward,0,0,0,0
Sebastian Prödl,35,Defender,0,0,0,0
Shinji Okazaki,36,Forward,0,0,0.33,0
Stefan Marius Johansen,31,Midfielder,4,0,0,0
Stefano Okaka,33,Forward,1,0,0,0
Stephen Ward,37,Defender,1,0,0,0
Steven Davis,37,Midfielder,0,0,0.94,0
Steven Defour,34,Midfielder,0,0,0,0
Sullay Kaikai,27,Midfielder,0,0,0,0
Tahith Chong,22,Forward,0,0,0,0
Timothy Eyoma,22,Defender,0,0,0,0
Tom Davies,24,Midfielder,3,0,0,0
Tyias Browning,28,Defender,0,0,0,0
Tyreke Johnson,24,Defender,0,0,0,0
Tyrone Mings,29,Defender,0,0,0,0
Vicente Iborra De La Fuente,34,Midfielder,0,0,0,0
Victor Moses,31,Midfielder,0,0,0,0
Viktor Gyökeres,24,Forward,0,0,0,0
Vincent Janssen,28,Forward,0,0,0,0
Yves Bissouma,26,Midfielder,5,0,0,0
Zechariah Medley,22,Defender,0,0,0,0
Zeze  Steven Sessegnon,22,Defender,0,0,0,0
